table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts),,,,,,
"Annual Estimates of the Resident Population for Incorporated Places in Tennessee: April 1, 2020 to July 1, 2024",,,,,,
Geographic Area,"April 1, 2020
Estimates Base",Population Estimate (as of July 1),,,,
,,2020,2021,2022,2023,2024
"Adams city, Tennessee",623,624,636,646,657,666
"Adamsville town, Tennessee","2,082","2,081","2,074","2,069","2,087","2,074"
"Alamo town, Tennessee","2,340","2,339","2,338","2,294","2,342","2,334"
"Alcoa city, Tennessee","10,987","10,990","11,522","11,708","13,364","13,588"
"Alexandria town, Tennessee",912,915,917,926,927,944
"Algood city, Tennessee","3,966","3,984","3,984","3,987","4,126","4,104"
"Allardt city, Tennessee",555,556,565,579,589,602
"Altamont town, Tennessee","1,118","1,121","1,102","1,136","1,153","1,189"
"Ardmore city, Tennessee","1,209","1,207","1,227","1,229","1,232","1,236"
"Arlington town, Tennessee","14,835","14,918","15,003","15,146","15,369","15,550"
"Ashland City town, Tennessee","5,191","5,186","5,178","5,505","5,593","5,689"
"Athens city, Tennessee","14,077","14,091","14,120","14,343","14,728","15,050"
"Atoka town, Tennessee","10,015","10,061","10,213","10,446","10,559","10,624"
"Atwood town, Tennessee",943,943,943,945,962,967
"Auburntown town, Tennessee",274,275,275,276,282,284
"Baileyton town, Tennessee",426,429,436,444,451,450
"Baneberry city, Tennessee",524,527,546,554,567,578
"Bartlett city, Tennessee","57,792","57,671","57,059","56,635","56,271","56,708"
"Baxter town, Tennessee","1,580","1,586","1,625","1,839","1,936","2,051"
"Bean Station city, Tennessee","2,954","2,959","2,972","3,022","3,070","3,111"
"Beersheba Springs town, Tennessee",432,432,436,444,450,455
"Bell Buckle town, Tennessee",414,414,419,420,423,423
"Belle Meade city, Tennessee","2,908","2,895","2,752","2,685","2,623","2,590"
"Bells city, Tennessee","2,462","2,461","2,479","2,462","2,478","2,474"
"Benton town, Tennessee","1,521","1,515","1,477","1,435","1,445","1,458"
"Berry Hill city, Tennessee","2,112","2,099","1,988","1,918","1,861","1,838"
"Bethel Springs town, Tennessee",745,745,746,750,751,748
"Big Sandy town, Tennessee",487,486,487,492,496,497
"Blaine city, Tennessee","2,079","2,080","2,090","2,117","2,144","2,167"
"Bluff City city, Tennessee","1,820","1,819","1,824","1,836","1,838","1,838"
"Bolivar city, Tennessee","5,198","5,188","5,170","5,178","5,119","5,084"
"Braden town, Tennessee",257,256,254,252,250,248
"Bradford town, Tennessee","1,002","1,001",994,994,993,"1,002"
"Brentwood city, Tennessee","45,384","45,447","45,734","45,612","45,425","45,525"
"Brighton town, Tennessee","2,883","2,884","2,872","2,876","2,875","2,904"
"Bristol city, Tennessee","27,133","27,181","27,545","27,716","27,828","27,867"
"Brownsville city, Tennessee","9,918","9,892","9,763","9,597","9,490","9,358"
"Bruceton town, Tennessee","1,507","1,506","1,489","1,480","1,505","1,520"
"Bulls Gap town, Tennessee",755,754,755,762,767,771
"Burlison town, Tennessee",369,369,368,367,366,367
"Burns town, Tennessee","1,582","1,606","1,693","1,776","1,817","1,872"
"Byrdstown town, Tennessee",792,791,802,805,808,807
"Calhoun town, Tennessee",534,535,541,546,553,562
"Camden city, Tennessee","3,677","3,677","3,636","3,655","3,702","3,692"
"Carthage town, Tennessee","2,293","2,295","2,263","2,303","2,267","2,266"
"Caryville town, Tennessee","2,204","2,201","2,190","2,160","2,199","2,207"
"Cedar Hill city, Tennessee",304,304,303,301,302,304
"Celina city, Tennessee","1,423","1,423","1,404","1,389","1,397","1,424"
"Centertown town, Tennessee",298,299,303,309,314,323
"Centerville town, Tennessee","3,523","3,525","3,534","3,528","3,557","3,561"
"Chapel Hill town, Tennessee","1,717","1,725","1,755","1,798","1,858","1,897"
"Charleston city, Tennessee",877,879,887,892,901,910
"Charlotte town, Tennessee","1,658","1,661","1,563","1,677","1,716","1,662"
"Chattanooga city, Tennessee","181,671","182,271","181,885","185,030","188,080","191,496"
"Church Hill city, Tennessee","7,007","7,003","7,031","7,090","7,236","7,310"
"Clarksburg town, Tennessee",376,376,375,377,383,387
"Clarksville city, Tennessee","166,755","167,533","170,862","177,020","181,142","185,690"
"Cleveland city, Tennessee","47,799","47,911","48,084","48,626","49,328","50,232"
"Clifton city, Tennessee","2,657","2,656","2,568","2,528","2,263","2,124"
"Clinton city, Tennessee","10,049","10,065","10,058","10,265","10,356","10,458"
"Coalmont city, Tennessee",786,787,792,804,814,822
"Collegedale city, Tennessee","11,102","11,122","11,238","11,276","11,489","11,510"
"Collierville town, Tennessee","51,325","51,332","51,254","51,461","51,535","51,951"
"Collinwood city, Tennessee",897,896,906,900,902,903
"Columbia city, Tennessee","41,615","41,994","43,452","45,628","47,311","48,812"
"Cookeville city, Tennessee","34,825","34,937","35,538","36,065","36,706","37,102"
"Coopertown town, Tennessee","4,477","4,488","4,598","4,661","4,700","4,781"
"Copperhill city, Tennessee",441,441,445,446,451,457
"Cornersville town, Tennessee","1,234","1,239","1,263","1,290","1,333","1,362"
"Cottage Grove town, Tennessee",66,66,66,66,66,67
"Covington city, Tennessee","8,671","8,664","8,561","8,566","8,551","8,575"
"Cowan city, Tennessee","1,763","1,766","1,774","1,778","1,769","1,816"
"Crab Orchard city, Tennessee",717,718,720,724,730,731
"Cross Plains city, Tennessee","1,783","1,785","1,835","1,857","1,899","1,907"
"Crossville city, Tennessee","12,041","12,081","12,206","12,431","12,644","12,785"
"Crump city, Tennessee",907,906,911,921,929,933
"Cumberland City town, Tennessee",306,307,310,311,317,323
"Cumberland Gap town, Tennessee",314,314,324,319,308,313
"Dandridge town, Tennessee","3,349","3,359","3,360","3,498","3,620","3,841"
"Dayton city, Tennessee","7,420","7,416","7,465","7,688","7,721","7,796"
"Decatur town, Tennessee","1,567","1,573","1,581","1,586","1,635","1,652"
"Decaturville town, Tennessee",805,804,799,804,813,816
"Decherd city, Tennessee","2,378","2,376","2,380","2,425","2,452","2,479"
"Dickson city, Tennessee","16,069","16,068","16,134","16,351","16,776","16,878"
"Dover city, Tennessee","1,829","1,836","1,801","1,815","1,878","1,893"
"Dowelltown town, Tennessee",343,344,350,358,361,367
"Doyle town, Tennessee",495,497,501,511,524,531
"Dresden town, Tennessee","2,996","2,992","2,934","2,935","2,938","2,930"
"Ducktown city, Tennessee",458,458,442,434,452,448
"Dunlap city, Tennessee","5,349","5,358","5,553","5,721","5,809","5,960"
"Dyer city, Tennessee","2,305","2,306","2,305","2,309","2,326","2,328"
"Dyersburg city, Tennessee","16,162","16,118","16,013","15,939","15,930","15,915"
"Eagleville city, Tennessee",812,823,869,899,945,966
"East Ridge city, Tennessee","22,169","22,207","22,089","21,984","22,028","21,970"
"Eastview town, Tennessee",767,767,766,768,771,768
"Elizabethton city, Tennessee","14,543","14,527","14,225","14,306","14,324","14,461"
"Elkton city, Tennessee",542,541,540,535,534,530
"Englewood town, Tennessee","1,478","1,479","1,496","1,519","1,554","1,590"
"Enville town, Tennessee",186,186,187,187,188,189
"Erin city, Tennessee","1,228","1,230","1,231","1,206","1,196","1,220"
"Erwin town, Tennessee","6,083","6,065","5,944","5,922","6,012","6,020"
"Estill Springs town, Tennessee","2,697","2,700","2,698","2,709","2,703","2,698"
"Ethridge town, Tennessee",533,533,542,548,556,561
"Etowah city, Tennessee","3,599","3,600","3,620","3,644","3,693","3,742"
"Fairview city, Tennessee","9,392","9,515","9,736","10,011","10,273","10,535"
"Farragut town, Tennessee","23,508","23,570","24,331","24,675","25,340","25,242"
"Fayetteville city, Tennessee","7,077","7,065","6,989","7,050","7,054","7,142"
"Finger city, Tennessee",277,277,277,277,279,279
"Forest Hills city, Tennessee","5,037","5,018","4,785","4,644","4,524","4,455"
"Franklin city, Tennessee","83,548","84,155","85,972","87,664","88,816","89,142"
"Friendship city, Tennessee",610,611,615,610,614,614
"Friendsville city, Tennessee",893,893,900,900,910,920
"Gadsden town, Tennessee",476,475,478,475,476,476
"Gainesboro town, Tennessee",925,926,923,936,966,961
"Gallatin city, Tennessee","44,453","44,825","46,726","48,220","50,413","52,489"
"Gallaway city, Tennessee",528,529,530,515,525,521
"Garland town, Tennessee",287,287,284,286,285,284
"Gates town, Tennessee",665,664,663,657,654,654
"Gatlinburg city, Tennessee","3,574","3,555","3,697","3,659","3,720","3,703"
"Germantown city, Tennessee","41,335","41,263","40,924","40,653","40,438","40,128"
"Gibson town, Tennessee",364,364,362,370,373,372
"Gilt Edge city, Tennessee",475,475,473,474,473,474
"Gleason town, Tennessee","1,365","1,364","1,370","1,370","1,363","1,363"
"Goodlettsville city, Tennessee","17,797","17,812","17,397","17,826","17,565","17,433"
"Gordonsville town, Tennessee","1,365","1,369","1,377","1,384","1,380","1,387"
"Grand Junction city, Tennessee",339,338,338,335,333,330
"Graysville town, Tennessee","1,475","1,473","1,482","1,494","1,495","1,508"
"Greenback city, Tennessee","1,101","1,107","1,141","1,154","1,197","1,224"
"Greenbrier town, Tennessee","6,945","6,957","6,984","6,960","6,955","7,039"
"Greeneville town, Tennessee","15,486","15,510","15,430","15,526","15,750","15,979"
"Greenfield city, Tennessee","2,025","2,024","2,029","2,024","2,008","2,017"
"Gruetli-Laager city, Tennessee","1,735","1,736","1,740","1,762","1,777","1,789"
"Guys town, Tennessee",414,414,413,416,418,416
"Halls town, Tennessee","2,088","2,084","2,077","2,053","2,044","2,033"
"Harriman city, Tennessee","5,943","5,954","6,002","6,088","6,173","6,216"
"Harrogate city, Tennessee","4,392","4,392","4,209","4,372","4,409","4,438"
"Hartsville/Trousdale County, Tennessee","11,609","11,634","11,607","12,085","12,301","12,159"
"Henderson city, Tennessee","6,320","6,336","6,354","6,415","6,458","6,519"
"Hendersonville city, Tennessee","61,786","62,119","62,446","63,064","63,755","63,947"
"Henning town, Tennessee",876,877,882,878,879,877
"Henry town, Tennessee",443,442,445,446,447,452
"Hickory Valley town, Tennessee",79,79,79,78,80,79
"Hohenwald city, Tennessee","3,670","3,708","3,797","3,845","3,924","4,136"
"Hollow Rock town, Tennessee",683,683,683,686,698,702
"Hornbeak town, Tennessee",509,509,506,506,507,505
"Hornsby town, Tennessee",260,260,259,260,259,257
"Humboldt city, Tennessee","7,881","7,876","7,832","7,858","7,856","7,852"
"Huntingdon town, Tennessee","4,443","4,439","4,343","4,403","4,512","4,502"
"Huntland town, Tennessee",886,885,891,899,891,890
"Huntsville town, Tennessee","1,739","1,740","1,709","1,730","1,733","1,741"
"Jacksboro town, Tennessee","2,304","2,299","2,154","2,206","2,278","2,248"
"Jackson city, Tennessee","68,214","68,200","67,881","68,365","68,391","69,303"
"Jamestown city, Tennessee","2,016","2,020","2,017","2,032","2,077","2,102"
"Jasper town, Tennessee","3,613","3,616","3,606","3,604","3,627","3,655"
"Jefferson City city, Tennessee","8,391","8,404","8,361","8,413","8,754","9,013"
"Jellico city, Tennessee","2,156","2,151","2,145","2,127","2,135","2,122"
"Johnson City city, Tennessee","71,060","71,121","71,145","72,616","73,447","73,635"
"Jonesborough town, Tennessee","5,871","5,916","5,856","6,152","6,488","6,746"
"Kenton town, Tennessee","1,281","1,280","1,269","1,258","1,258","1,250"
"Kimball town, Tennessee","1,547","1,552","1,569","1,584","1,608","1,638"
"Kingsport city, Tennessee","55,535","55,510","55,697","56,207","56,761","57,109"
"Kingston city, Tennessee","6,096","6,109","6,076","6,221","6,349","6,340"
"Kingston Springs town, Tennessee","2,819","2,813","2,804","2,769","2,780","2,769"
"Knoxville city, Tennessee","190,674","191,227","192,158","196,210","197,463","198,722"
"Lafayette city, Tennessee","5,598","5,587","5,577","5,705","5,842","5,919"
"La Follette city, Tennessee","7,433","7,411","7,326","7,175","7,241","7,194"
"La Grange town, Tennessee",124,124,125,121,120,120
"Lakeland city, Tennessee","13,924","14,027","14,152","14,206","14,206","14,416"
"Lakesite city, Tennessee","1,856","1,865","1,911","1,932","1,957","1,949"
"La Vergne city, Tennessee","38,709","38,705","39,626","40,366","41,051","41,430"
"Lawrenceburg city, Tennessee","11,635","11,636","11,672","11,837","11,976","12,112"
"Lebanon city, Tennessee","38,486","38,894","41,019","44,276","48,290","51,501"
"Lenoir City city, Tennessee","10,109","10,126","10,368","11,285","11,736","12,041"
"Lewisburg city, Tennessee","12,295","12,346","12,525","12,789","13,158","13,473"
"Lexington city, Tennessee","7,953","7,951","7,923","7,916","7,985","8,037"
"Liberty town, Tennessee",332,333,337,340,342,345
"Linden town, Tennessee","1,001","1,003","1,027","1,059","1,102","1,123"
"Livingston town, Tennessee","3,903","3,920","3,935","3,969","4,046","4,100"
"Lobelville city, Tennessee",924,923,934,952,973,978
"Lookout Mountain town, Tennessee","2,067","2,068","2,060","2,048","2,052","2,038"
"Loretto city, Tennessee","1,736","1,737","1,761","1,783","1,800","1,813"
"Loudon city, Tennessee","5,990","6,022","6,271","6,319","6,649","6,942"
"Louisville city, Tennessee","4,386","4,387","4,383","4,397","4,352","4,334"
"Luttrell town, Tennessee","1,016","1,018","1,029","1,053","1,066","1,086"
"Lynchburg, Moore County metropolitan government, Tennessee","6,463","6,466","6,644","6,715","6,774","6,773"
"Lynnville town, Tennessee",292,294,299,307,314,321
"McEwen city, Tennessee","1,648","1,652","1,680","1,694","1,726","1,762"
"McKenzie city, Tennessee","5,520","5,514","5,489","5,495","5,581","5,603"
"McLemoresville town, Tennessee",290,290,289,288,292,292
"McMinnville city, Tennessee","13,788","13,806","13,808","13,770","13,798","14,032"
"Madisonville city, Tennessee","5,130","5,141","5,124","5,249","5,315","5,395"
"Manchester city, Tennessee","12,211","12,267","12,695","13,041","13,237","13,484"
"Martin city, Tennessee","10,831","10,829","10,776","10,912","11,013","10,989"
"Maryville city, Tennessee","31,920","32,012","32,319","32,692","32,442","32,373"
"Mason town, Tennessee","1,349","1,348","1,359","1,336","1,357","1,343"
"Maury City town, Tennessee",592,591,596,591,596,595
"Maynardville city, Tennessee","2,461","2,471","2,453","2,539","2,582","2,598"
"Medina city, Tennessee","5,128","5,157","5,251","5,400","5,534","5,681"
"Medon city, Tennessee",189,189,190,192,194,194
"Memphis city, Tennessee","628,546","628,388","622,541","618,468","614,587","610,919"
"Michie town, Tennessee",654,654,655,657,661,659
"Middleton city, Tennessee",658,657,675,696,719,737
"Milan city, Tennessee","8,177","8,176","8,156","8,259","8,307","8,306"
"Milledgeville town, Tennessee",271,271,271,271,275,275
"Millersville city, Tennessee","6,300","6,313","6,290","6,272","6,327","6,427"
"Millington city, Tennessee","10,580","10,581","11,375","11,493","11,505","11,486"
"Minor Hill city, Tennessee",504,505,508,511,515,520
"Mitchellville city, Tennessee",161,161,160,159,159,160
"Monteagle town, Tennessee","1,386","1,385","1,383","1,384","1,404","1,440"
"Monterey town, Tennessee","2,748","2,749","2,745","2,756","2,755","2,796"
"Morrison town, Tennessee",729,732,742,757,772,790
"Morristown city, Tennessee","30,446","30,479","30,549","31,466","32,222","32,994"
"Moscow city, Tennessee",568,567,562,561,561,555
"Mosheim town, Tennessee","2,482","2,488","2,494","2,506","2,542","2,560"
"Mountain City town, Tennessee","2,412","2,417","2,393","2,382","2,463","2,486"
"Mount Carmel town, Tennessee","5,432","5,424","5,449","5,489","5,518","5,549"
"Mount Juliet city, Tennessee","39,312","39,690","40,814","42,681","43,090","44,066"
"Mount Pleasant city, Tennessee","4,785","4,805","4,845","4,809","4,829","4,871"
"Munford city, Tennessee","6,299","6,318","6,402","6,596","6,732","6,896"
"Murfreesboro city, Tennessee","152,835","153,816","156,473","162,595","166,023","168,387"
"Nashville-Davidson metropolitan government (balance), Tennessee","689,451","689,726","675,671","685,903","694,294","704,963"
"Newbern town, Tennessee","3,343","3,330","3,312","3,272","3,264","3,247"
"New Hope city, Tennessee",989,988,978,968,962,973
"New Johnsonville city, Tennessee","1,806","1,806","1,819","1,807","1,819","1,840"
"New Market town, Tennessee","1,362","1,364","1,376","1,397","1,405","1,416"
"Newport city, Tennessee","6,850","6,854","6,815","6,872","6,930","6,954"
"New Tazewell town, Tennessee","2,776","2,777","2,782","2,788","2,810","2,824"
"Niota city, Tennessee",766,767,778,794,805,821
"Nolensville town, Tennessee","13,829","14,054","14,807","15,250","15,482","15,809"
"Normandy town, Tennessee",107,107,107,107,107,105
"Norris city, Tennessee","1,599","1,601","1,586","1,601","1,619","1,623"
"Oakdale town, Tennessee",191,191,193,194,197,199
"Oak Hill city, Tennessee","4,885","4,874","4,678","4,578","4,503","4,485"
"Oakland town, Tennessee","8,960","9,048","9,526","10,035","10,486","10,769"
"Oak Ridge city, Tennessee","31,406","31,461","31,864","32,655","33,450","34,039"
"Obion town, Tennessee",994,994,982,976,975,968
"Oliver Springs town, Tennessee","3,299","3,306","3,311","3,358","3,403","3,433"
"Oneida town, Tennessee","3,788","3,792","3,790","3,805","3,835","3,875"
"Orlinda city, Tennessee",946,947,962,979,991,"1,005"
"Orme town, Tennessee",88,88,87,86,86,85
"Palmer town, Tennessee",556,556,560,569,577,581
"Paris city, Tennessee","10,307","10,288","10,286","10,303","10,306","10,517"
"Parker's Crossroads city, Tennessee",284,284,286,285,284,284
