Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected,source_year,Event Month,event_start,event_end,duration_hours
January,01/01/2021,07:04:00,01/01/2021,07:05:00,California: Alameda County;,WECC,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,Vandalism,0,0,2021,,2021-01-01 07:04:00-06:00,2021-01-01 07:05:00-06:00,0.016666666666666666
January,01/02/2021,10:28:00,01/02/2021,10:29:00,California: Butte County;,WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,System Operations,8,5803,2021,,2021-01-02 10:28:00-06:00,2021-01-02 10:29:00-06:00,0.016666666666666666
January,01/04/2021,10:34:00,01/04/2021,10:49:00,Pennsylvania:,RF,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",Transmission Interruption,6,3825,2021,,2021-01-04 10:34:00-06:00,2021-01-04 10:49:00-06:00,0.25
January,01/08/2021,01:26:00,01/08/2021,02:45:00,Arkansas: Prairie County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Sabotage,Unknown,1908,2021,,2021-01-08 01:26:00-06:00,2021-01-08 02:45:00-06:00,1.3166666666666667
January,01/10/2021,22:44:00,01/13/2021,16:00:00,"Texas: Anderson County, Angelina County, Dallas County, Freestone County, Henderson County, Houston County, Leon County, Nacogdoches County, Smith County, Tarrant County;",TRE,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,188000,2021,,2021-01-10 22:44:00-06:00,2021-01-13 16:00:00-06:00,65.26666666666667
January,01/11/2021,05:00:00,01/11/2021,14:22:00,Louisiana: Texas:,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Distribution Interruption,Unknown,58000,2021,,2021-01-11 05:00:00-06:00,2021-01-11 14:22:00-06:00,9.366666666666667
January,01/12/2021,23:50:00,01/15/2021,13:00:00,"Washington: Kitsap County, Thurston County, King County, Pierce County, Skagit County, Whatcom County;",WECC,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,Severe Weather,100,320000,2021,,2021-01-12 23:50:00-06:00,2021-01-15 13:00:00-06:00,61.166666666666664
January,01/12/2021,20:46:00,01/13/2021,16:00:00,"Oregon: Clackamas County, Multnomah County, Washington County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,94231,2021,,2021-01-12 20:46:00-06:00,2021-01-13 16:00:00-06:00,19.233333333333334
January,01/12/2021,23:49:00,01/14/2021,14:00:00,Washington:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Distribution Interruption,150,70000,2021,,2021-01-12 23:49:00-06:00,2021-01-14 14:00:00-06:00,38.18333333333333
January,01/12/2021,20:30:00,Unknown,Unknown,Washington: Snohomish County;,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather/Transmission Interruption,200,62000,2021,,2021-01-12 20:30:00-06:00,,
January,01/13/2021,03:43:00,01/13/2021,16:00:00,Washington: Idaho:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,185,70417,2021,,2021-01-13 03:43:00-06:00,2021-01-13 16:00:00-06:00,12.283333333333333
January,01/13/2021,13:05:00,01/13/2021,13:06:00,Georgia: Houston County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2021,,2021-01-13 13:05:00-06:00,2021-01-13 13:06:00-06:00,0.016666666666666666
January,01/15/2021,17:48:00,01/15/2021,18:55:00,Missouri:,SERC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2021,,2021-01-15 17:48:00-06:00,2021-01-15 18:55:00-06:00,1.1166666666666667
January,01/18/2021,14:07:00,01/18/2021,14:42:00,Connecticut:,NPCC,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,System Operations,0,0,2021,,2021-01-18 14:07:00-06:00,2021-01-18 14:42:00-06:00,0.5833333333333334
January,01/19/2021,09:31:00,01/21/2021,14:36:00,"California: Kern County, Los Angeles County, Riverside County, San Bernardino County, Ventura County, Orange County;",WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,Unknown,173746,2021,,2021-01-19 09:31:00-06:00,2021-01-21 14:36:00-06:00,53.083333333333336
January,01/19/2021,02:48:00,01/20/2021,11:41:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,411,124888,2021,,2021-01-19 02:48:00-06:00,2021-01-20 11:41:00-06:00,32.88333333333333
January,01/21/2021,00:00:00,02/03/2021,16:55:00,Texas: Louisiana: Arkansas: Pulaski County; Mississippi:,TRE,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0,2021,,2021-01-21 00:00:00-06:00,2021-02-03 16:55:00-06:00,328.9166666666667
January,01/23/2021,07:00:00,01/27/2021,13:45:00,Georgia: Laurens County;,SERC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Cyber Event,29,Unknown,2021,,2021-01-23 07:00:00-06:00,2021-01-27 13:45:00-06:00,102.75
January,01/23/2021,07:45:00,01/23/2021,08:00:00,"California: Placer County, Nevada County;",WECC,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",Suspicious Activity,45,0,2021,,2021-01-23 07:45:00-06:00,2021-01-23 08:00:00-06:00,0.25
January,01/26/2021,20:49:00,01/28/2021,21:14:00,California:,WECC,"Loss of electric service to more than 50,000 customers for 1 hour or more.",Severe Weather,841,255715,2021,,2021-01-26 20:49:00-06:00,2021-01-28 21:14:00-06:00,48.416666666666664
