county,date,customers_out
Anderson,2021-01-01,25.0
Anderson,2021-01-02,
Anderson,2021-01-04,4.0
Bedford,2021-01-01,1.0
Bedford,2021-01-02,3.0
Bedford,2021-01-04,1.0
Bledsoe,2021-01-01,18.0
Bledsoe,2021-01-02,
Blount,2021-01-01,60.0
Blount,2021-01-02,31.0
Blount,2021-01-03,31.0
Blount,2021-01-04,46.0
Bradley,2021-01-01,43.0
Bradley,2021-01-02,3.0
Bradley,2021-01-03,1017.0
Bradley,2021-01-04,80.0
Campbell,2021-01-01,64.0
Campbell,2021-01-02,
Campbell,2021-01-03,6.0
Campbell,2021-01-04,3.0
Cannon,2021-01-01,2.0
Cannon,2021-01-03,3.0
Cannon,2021-01-04,2.0
Carter,2021-01-02,
Cheatham,2020-12-31,
Cheatham,2021-01-01,83.0
Cheatham,2021-01-02,1.0
Cheatham,2021-01-03,1434.0
Cheatham,2021-01-04,1.0
Chester,2021-01-01,49.0
Chester,2021-01-02,
Chester,2021-01-04,4.0
Claiborne,2021-01-01,104.0
Claiborne,2021-01-02,1.0
Claiborne,2021-01-03,43.0
Claiborne,2021-01-04,20.0
Clay,2021-01-01,44.0
Clay,2021-01-04,34.0
Cocke,2020-12-31,3.0
Cocke,2021-01-01,71.0
Cocke,2021-01-02,24.0
Cocke,2021-01-03,32.0
Cocke,2021-01-04,4.0
Coffee,2021-01-01,11.0
Coffee,2021-01-02,1.0
Coffee,2021-01-03,2.0
Coffee,2021-01-04,26.0
Crockett,2021-01-01,51.0
Crockett,2021-01-02,25.0
Crockett,2021-01-03,2.0
Cumberland,2021-01-01,175.0
Cumberland,2021-01-02,30.0
Cumberland,2021-01-03,15.0
Cumberland,2021-01-04,3.0
Davidson,2020-12-31,61.0
Davidson,2021-01-01,2877.0
Davidson,2021-01-02,69.0
Davidson,2021-01-03,711.0
Davidson,2021-01-04,2788.0
DeKalb,2021-01-04,1.0
Dickson,2020-12-31,
Dickson,2021-01-01,
Dickson,2021-01-04,
Fayette,2020-12-31,115.0
Fayette,2021-01-01,23.0
Fayette,2021-01-02,8.0
Fayette,2021-01-03,23.0
Fayette,2021-01-04,9.0
Fentress,2021-01-01,439.0
Franklin,2020-12-31,3.0
Franklin,2021-01-01,69.0
Franklin,2021-01-02,1.0
Franklin,2021-01-04,4.0
Gibson,2021-01-01,33.0
Gibson,2021-01-02,1.0
Gibson,2021-01-04,10.0
Giles,2021-01-01,86.0
Giles,2021-01-02,16.0
Giles,2021-01-03,311.0
Giles,2021-01-04,10.0
Grainger,2021-01-01,78.0
Grainger,2021-01-02,1.0
Greene,2021-01-01,56.0
Greene,2021-01-02,112.0
Greene,2021-01-03,2.0
Greene,2021-01-04,1.0
Grundy,2021-01-02,1.0
Grundy,2021-01-04,4.0
Hamblen,2021-01-01,
Hamblen,2021-01-02,2.0
Hamblen,2021-01-03,
Hamblen,2021-01-04,1.0
Hamilton,2021-01-02,17.0
Hamilton,2021-01-03,1.0
Hamilton,2021-01-04,3.0
Hancock,2020-12-31,1.0
Hancock,2021-01-01,42.0
Hancock,2021-01-02,1.0
Hancock,2021-01-03,2.0
Hancock,2021-01-04,1.0
Hardeman,2020-12-31,63.0
Hardeman,2021-01-01,7.0
Hardeman,2021-01-02,
Hawkins,2020-12-31,3.0
Hawkins,2021-01-01,129.0
Hawkins,2021-01-02,5.0
