Month,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Alert Criteria,Event Type,Demand Loss (MW),Number of Customers Affected,source_year,event_start_utc,event_end_utc
April,04/25/2021,08:20:00,,,Tennessee: Davidson County;,SERC,Damage or destruction of its Facility that results from actual or suspected intentional human action.,Vandalism,0,0.0,2021,2021-04-25 13:20:00+00:00,
December,12/11/2021,03:13:00,12/15/2021,15:30:00,"Tennessee: Davidson County, Sumner County;",SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,177,107344.0,2021,2021-12-11 09:13:00+00:00,2021-12-15 21:30:00+00:00
February,02/03/2022,10:00:00,02/07/2022,20:00:00,Tennessee: Shelby County;,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather/Transmission Interruption,,255000.0,2022,2022-02-03 16:00:00+00:00,2022-02-08 02:00:00+00:00
December,12/22/2022,09:04:00,12/25/2022,00:00:00,Tennessee: Alabama: Mississippi: Kentucky:,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Transmission Interruption,3200,0.0,2022,2022-12-22 15:04:00+00:00,2022-12-25 06:00:00+00:00
December,12/23/2022,08:31:00,,,Tennessee: Shelby County;,SERC,Firm load shedding of 100 Megawatts or more implemented under emergency operational policy.,Severe Weather,,0.0,2022,2022-12-23 14:31:00+00:00,
March,03/03/2023,14:00:00,03/04/2023,04:00:00,Tennessee: Davidson County;,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",Severe Weather,,115000.0,2023,2023-03-03 20:00:00+00:00,2023-03-04 10:00:00+00:00
June,2023-06-25 00:00:00,06:45:00,,,Tennessee,SERC,"Loss of electric service to more than 50,000 customers for 1 hour or more",- Weather or natural disaster,,120000.0,2023,,
July,2023-07-18 00:00:00,17:50:00,2023-07-25 00:00:00,14:00:00,Tennessee: Shelby County;,SERC,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident.,- Weather or natural disaster,1200,216000.0,2023,,
July,2023-07-25 00:00:00,18:52:00,2023-07-25 00:00:00,19:00:00,Tennessee: Shelby County;,SERC,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident.,- Unknown - Failure at high voltage substation or switchyard,820,0.0,2023,,
August,,17:50:00,2023-07-25 00:00:00,14:00:00,Tennessee: Shelby County;,SERC,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident.,- Weather or natural disaster,1200,216000.0,2023,,
August,,18:52:00,2023-07-25 00:00:00,19:00:00,Tennessee: Shelby County;,SERC,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident.,- Unknown - Failure at high voltage substation or switchyard,820,0.0,2023,,
