city,Geographic Area,population_2021,population_2022,population_2023,population_2024,population_2025,weight_2021,weight_2022,weight_2023,weight_2024,weight_2025
chattanooga,"Chattanooga city, Tennessee",181885.0,185030.0,188080.0,191496.0,191496.0,0.079529,0.07986,0.080514,0.081273,0.081273
clarksville,"Clarksville city, Tennessee",170862.0,177020.0,181142.0,185690.0,185690.0,0.074709,0.076403,0.077544,0.078809,0.078809
franklin,"Franklin city, Tennessee",85972.0,87664.0,88816.0,89142.0,89142.0,0.037591,0.037836,0.038021,0.037833,0.037833
hendersonville,"Hendersonville city, Tennessee",62446.0,63064.0,63755.0,63947.0,63947.0,0.027304,0.027219,0.027292,0.02714,0.02714
jackson,"Jackson city, Tennessee",67881.0,68365.0,68391.0,69303.0,69303.0,0.029681,0.029507,0.029277,0.029413,0.029413
johnson_city,"Johnson City city, Tennessee",71145.0,72616.0,73447.0,73635.0,73635.0,0.031108,0.031341,0.031441,0.031252,0.031252
knoxville,"Knoxville city, Tennessee",192158.0,196210.0,197463.0,198722.0,198722.0,0.084021,0.084685,0.08453,0.08434,0.08434
memphis,"Memphis city, Tennessee",622541.0,618468.0,614587.0,610919.0,610919.0,0.272205,0.266934,0.263094,0.259281,0.259281
murfreesboro,"Murfreesboro city, Tennessee",156473.0,162595.0,166023.0,168387.0,168387.0,0.068417,0.070177,0.071072,0.071465,0.071465
nashville,"Nashville-Davidson metropolitan government (balance), Tennessee",675671.0,685903.0,694294.0,704963.0,704963.0,0.295435,0.296039,0.297215,0.299194,0.299194
