timestamp,Day-ahead demand forecast,actual_demand_mwh,Net generation,Total interchange,nashville_temperature_2m,nashville_relative_humidity_2m,nashville_precipitation,nashville_rain,nashville_snowfall,nashville_cloud_cover,nashville_wind_speed_10m,nashville_surface_pressure,nashville_weather_code,memphis_temperature_2m,memphis_relative_humidity_2m,memphis_precipitation,memphis_rain,memphis_snowfall,memphis_cloud_cover,memphis_wind_speed_10m,memphis_surface_pressure,memphis_weather_code,knoxville_temperature_2m,knoxville_relative_humidity_2m,knoxville_precipitation,knoxville_rain,knoxville_snowfall,knoxville_cloud_cover,knoxville_wind_speed_10m,knoxville_surface_pressure,knoxville_weather_code,chattanooga_temperature_2m,chattanooga_relative_humidity_2m,chattanooga_precipitation,chattanooga_rain,chattanooga_snowfall,chattanooga_cloud_cover,chattanooga_wind_speed_10m,chattanooga_surface_pressure,chattanooga_weather_code,weighted_temp_f,weighted_precip_in,weighted_cloud_cover_pct
2021-01-01 00:00:00,14152.0,16270.0,16464.0,194.0,43.2,92,0.004,0.004,0.0,100,8.1,1001.3,51,45.0,96,0.016,0.016,0.0,100,15.1,1001.4,51,47.9,95,0.0,0.0,0.0,98,5.7,986.3,3,50.4,100,0.024,0.024,0.0,100,6.3,994.8,53,45.76,0.0098,99.6
2021-01-01 01:00:00,13878.0,15673.0,15937.0,264.0,44.0,94,0.004,0.004,0.0,100,8.3,1000.8,51,47.0,95,0.087,0.087,0.0,100,15.5,999.2,61,48.3,93,0.0,0.0,0.0,98,4.3,985.8,3,50.2,100,0.004,0.004,0.0,100,5.9,994.7,51,46.69,0.0280999999999999,99.6
2021-01-01 02:00:00,14289.0,15105.0,15400.0,295.0,45.0,96,0.024,0.024,0.0,100,8.0,999.9,53,48.9,96,0.15,0.15,0.0,100,11.0,997.9,63,48.7,92,0.071,0.071,0.0,100,4.7,986.3,61,50.7,100,0.035,0.035,0.0,100,6.4,993.2,53,47.765,0.07285,100.0
2021-01-01 03:00:00,13961.0,14618.0,14874.0,256.0,46.0,97,0.031,0.031,0.0,100,9.4,998.0,53,51.0,96,0.146,0.146,0.0,66,12.6,997.1,63,48.4,93,0.0,0.0,0.0,100,5.4,985.0,3,51.0,99,0.079,0.079,0.0,100,3.8,992.9,61,48.73,0.0665,89.8
2021-01-01 04:00:00,13639.0,14299.0,14994.0,695.0,47.0,97,0.13,0.13,0.0,100,9.3,997.4,63,53.7,95,0.083,0.083,0.0,100,10.9,996.1,61,47.8,97,0.012,0.012,0.0,100,5.9,984.0,51,51.3,99,0.075,0.075,0.0,100,3.4,992.4,61,49.815000000000005,0.08405,100.0
2021-01-01 05:00:00,13379.0,14087.0,14834.0,747.0,49.1,97,0.13,0.13,0.0,100,11.1,995.4,63,56.8,96,0.142,0.142,0.0,100,8.7,995.2,63,48.8,97,0.02,0.02,0.0,98,5.5,983.4,53,52.6,99,0.087,0.087,0.0,100,3.6,991.2,61,51.87499999999999,0.10515,99.6
2021-01-01 06:00:00,13405.0,13923.0,14691.0,768.0,50.1,99,0.024,0.024,0.0,100,8.1,994.9,53,59.1,97,0.071,0.071,0.0,100,11.0,995.2,61,48.9,98,0.016,0.016,0.0,100,4.4,983.0,51,56.3,100,0.134,0.134,0.0,100,8.9,990.9,63,53.49,0.053,100.0
2021-01-01 07:00:00,13643.0,14012.0,14311.0,299.0,56.2,97,0.004,0.004,0.0,83,8.4,993.3,51,57.9,90,0.028,0.028,0.0,3,13.8,995.8,53,48.5,99,0.008,0.008,0.0,100,4.3,982.0,51,58.1,99,0.071,0.071,0.0,100,11.9,990.4,61,55.455,0.02205,64.94999999999999
2021-01-01 08:00:00,13972.0,14242.0,14495.0,253.0,59.1,96,0.035,0.035,0.0,100,9.8,993.0,53,54.8,88,0.0,0.0,0.0,7,14.6,996.4,0,48.3,99,0.0,0.0,0.0,97,4.9,981.9,3,58.9,99,0.02,0.02,0.0,100,14.1,990.7,53,55.62,0.01525,71.5
2021-01-01 09:00:00,14467.0,14260.0,14590.0,330.0,63.0,95,0.031,0.031,0.0,87,14.5,992.4,53,54.0,85,0.0,0.0,0.0,26,15.8,997.3,1,51.9,96,0.0,0.0,0.0,98,3.5,982.0,3,58.5,99,0.047,0.047,0.0,96,13.4,990.5,55,57.405,0.0179,72.25
2021-01-01 10:00:00,14617.0,14605.0,14939.0,334.0,63.3,95,0.024,0.024,0.0,92,15.9,993.1,53,53.9,81,0.0,0.0,0.0,60,16.1,998.6,2,54.6,96,0.0,0.0,0.0,99,4.0,981.9,3,58.7,99,0.146,0.146,0.0,100,12.3,990.9,63,58.05,0.0303,85.0
2021-01-01 11:00:00,14754.0,14877.0,15256.0,379.0,64.8,93,0.012,0.012,0.0,96,14.5,992.9,51,53.1,74,0.0,0.0,0.0,96,17.6,999.6,3,57.3,94,0.031,0.031,0.0,98,2.3,981.9,53,59.6,99,0.067,0.067,0.0,100,11.2,990.8,61,59.01,0.02045,97.0
2021-01-01 12:00:00,14983.0,15243.0,15524.0,281.0,67.1,90,0.008,0.008,0.0,24,15.2,992.1,51,51.8,72,0.0,0.0,0.0,100,16.7,999.9,3,56.5,96,0.177,0.177,0.0,100,5.7,980.9,63,60.7,99,0.012,0.012,0.0,100,11.1,989.8,51,59.42999999999999,0.04,73.4
2021-01-01 13:00:00,14986.0,15543.0,15762.0,219.0,68.7,85,0.004,0.004,0.0,8,15.7,991.0,51,51.9,68,0.0,0.0,0.0,100,17.0,999.5,3,58.6,97,0.047,0.047,0.0,96,3.8,979.7,55,60.9,99,0.012,0.012,0.0,100,10.0,988.7,51,60.46999999999999,0.0126,67.0
2021-01-01 14:00:00,14645.0,15338.0,15656.0,318.0,70.2,66,0.0,0.0,0.0,31,16.2,989.9,1,51.3,69,0.0,0.0,0.0,100,15.8,1000.1,3,59.5,97,0.02,0.02,0.0,84,1.4,979.3,53,61.8,97,0.004,0.004,0.0,100,9.1,988.3,51,61.129999999999995,0.0046,72.65
2021-01-01 15:00:00,14523.0,15273.0,15594.0,321.0,69.6,59,0.0,0.0,0.0,5,15.9,989.4,0,50.3,68,0.0,0.0,0.0,100,14.7,1000.9,3,61.5,90,0.0,0.0,0.0,68,5.3,978.7,2,62.1,98,0.008,0.008,0.0,100,9.8,987.4,51,61.065,0.0012,60.35
